SK_ID_CURR,TARGET
100001,0.12
100005,0.16
100013,0.18
100028,0.14
100038,0.16
100042,0.12
100057,0.1
100065,0.18
100066,0.09
100067,0.3
100074,0.22
100090,0.17
100091,0.19
100092,0.25
100106,0.13
100107,0.19
100109,0.19
100117,0.2
100128,0.22
100141,0.19
100150,0.08
100168,0.14
100169,0.17
100170,0.09
100171,0.06
100172,0.14
100184,0.21
100187,0.09
100212,0.17
100222,0.1
100223,0.12
100232,0.16
100241,0.19
100245,0.14
100253,0.05
100256,0.23
100271,0.1
100278,0.3
100280,0.14
100306,0.18
100311,0.13
100312,0.19
100330,0.23
100331,0.1
100352,0.14
100358,0.13
100367,0.09
100382,0.17
100384,0.12
100385,0.29
100386,0.11
100399,0.08
100404,0.14
100416,0.15
100422,0.21
100426,0.13
100438,0.22
100444,0.22
100445,0.2
100446,0.1
100447,0.15
100450,0.21
100466,0.14
100483,0.18
100484,0.16
100494,0.14
100510,0.24
100512,0.26
100517,0.11
100548,0.13
100551,0.14
100552,0.15
100553,0.1
100561,0.16
100568,0.33
100569,0.14
100591,0.19
100592,0.12
100602,0.11
100607,0.1
100613,0.16
100617,0.13
100618,0.27
100622,0.22
100625,0.18
100677,0.2
100699,0.07
100702,0.3
100711,0.17
100729,0.18
100740,0.22
100744,0.24
100745,0.12
100747,0.24
100751,0.39
100752,0.19
100753,0.29
100754,0.22
100760,0.13
100762,0.2
100763,0.13
100765,0.08
100770,0.13
100772,0.09
100777,0.12
100791,0.14
100792,0.14
100797,0.16
100823,0.14
100826,0.17
100830,0.09
100836,0.29
100872,0.17
100910,0.14
100913,0.36
100918,0.13
100931,0.06
100952,0.12
100953,0.2
100965,0.34
100970,0.09
100982,0.3
100983,0.31
100984,0.13
100987,0.11
100997,0.11
100998,0.16
101002,0.15
101005,0.23
101008,0.27
101020,0.12
101021,0.11
101024,0.23
101025,0.2
101026,0.14
101031,0.17
101041,0.11
101051,0.04
101055,0.11
101056,0.33
101057,0.13
101064,0.11
101079,0.17
101087,0.11
101090,0.13
101092,0.18
101097,0.21
101099,0.14
101107,0.21
101118,0.16
101125,0.12
101126,0.15
101128,0.1
101136,0.17
101140,0.21
101149,0.25
101160,0.21
101169,0.3
101181,0.15
101186,0.09
101190,0.2
101193,0.19
101194,0.18
101198,0.19
101200,0.12
101204,0.06
101211,0.25
101213,0.18
101223,0.08
101225,0.16
101237,0.19
101243,0.16
101244,0.14
101258,0.16
101259,0.22
101268,0.16
101269,0.14
101271,0.34
101279,0.07
101281,0.26
101287,0.13
101292,0.15
101294,0.15
101296,0.14
101297,0.13
101299,0.21
101301,0.1
101305,0.18
101308,0.16
101318,0.13
101327,0.22
101329,0.1
101332,0.14
101337,0.21
101343,0.07
101345,0.08
101346,0.13
101353,0.07
101354,0.23
101355,0.18
101356,0.18
101362,0.19
101363,0.32
101365,0.15
101366,0.22
101367,0.24
101368,0.09
101374,0.18
101380,0.17
101383,0.09
101398,0.15
101399,0.3
101401,0.22
101412,0.16
101426,0.18
101427,0.35
101428,0.22
101429,0.33
101434,0.09
101440,0.14
101448,0.2
101449,0.14
101465,0.16
101467,0.12
101472,0.15
101478,0.27
101497,0.22
101504,0.2
101547,0.12
101548,0.18
101555,0.3
101570,0.16
101572,0.18
101578,0.15
101580,0.15
101588,0.22
101602,0.11
101610,0.18
101614,0.14
101616,0.16
101643,0.2
101644,0.11
101649,0.22
101650,0.1
101665,0.12
101667,0.25
101669,0.14
101674,0.12
101675,0.15
101678,0.16
101682,0.2
101686,0.15
101697,0.24
101700,0.31
101711,0.16
101714,0.13
101715,0.25
101728,0.18
101732,0.18
101757,0.18
101758,0.11
101759,0.13
101762,0.09
101764,0.12
101780,0.37
101784,0.08
101789,0.1
101816,0.15
101819,0.12
101827,0.11
101863,0.19
101867,0.16
101870,0.11
101873,0.27
101878,0.17
101879,0.15
101880,0.09
101887,0.16
101897,0.15
101901,0.19
101903,0.2
101920,0.13
101921,0.16
