SK_ID_CURR,TARGET
100001,0.41
100005,0.37
100013,0.35
100028,0.39
100038,0.42
100042,0.41
100057,0.3
100065,0.31
100066,0.3
100067,0.45
100074,0.45
100090,0.38
100091,0.44
100092,0.47
100106,0.42
100107,0.31
100109,0.33
100117,0.38
100128,0.35
100141,0.36
100150,0.34
100168,0.36
100169,0.36
100170,0.39
100171,0.31
100172,0.4
100184,0.36
100187,0.44
100212,0.4
100222,0.38
100223,0.23
100232,0.29
100241,0.41
100245,0.37
100253,0.23
100256,0.4
100271,0.34
100278,0.41
100280,0.3
100306,0.39
100311,0.47
100312,0.39
100330,0.35
100331,0.27
100352,0.38
100358,0.32
100367,0.34
100382,0.41
100384,0.35
100385,0.4
100386,0.3
100399,0.32
100404,0.4
100416,0.3
100422,0.42
100426,0.41
100438,0.34
100444,0.43
100445,0.49
100446,0.45
100447,0.37
100450,0.39
100466,0.33
100483,0.32
100484,0.36
100494,0.4
100510,0.38
100512,0.39
100517,0.33
100548,0.36
100551,0.43
100552,0.38
100553,0.3
100561,0.38
100568,0.39
100569,0.31
100591,0.36
100592,0.38
100602,0.37
100607,0.33
100613,0.44
100617,0.41
100618,0.37
100622,0.35
100625,0.43
100677,0.31
100699,0.37
100702,0.52
100711,0.36
100729,0.44
100740,0.35
100744,0.36
100745,0.44
100747,0.26
100751,0.47
100752,0.42
100753,0.43
100754,0.37
100760,0.47
100762,0.45
100763,0.36
100765,0.35
100770,0.38
100772,0.22
100777,0.32
100791,0.19
100792,0.39
100797,0.29
100823,0.3
100826,0.2
100830,0.35
100836,0.41
100872,0.4
100910,0.29
100913,0.44
100918,0.33
100931,0.37
100952,0.43
100953,0.34
100965,0.42
100970,0.33
100982,0.32
100983,0.37
100984,0.27
100987,0.34
100997,0.34
100998,0.32
101002,0.31
101005,0.44
101008,0.37
101020,0.39
101021,0.4
101024,0.37
101025,0.35
101026,0.39
101031,0.39
101041,0.36
101051,0.31
101055,0.39
101056,0.4
101057,0.36
101064,0.46
101079,0.41
101087,0.36
101090,0.32
101092,0.37
101097,0.33
101099,0.38
101107,0.38
101118,0.38
101125,0.44
101126,0.33
101128,0.25
101136,0.34
101140,0.49
101149,0.38
101160,0.46
101169,0.39
101181,0.35
101186,0.33
101190,0.43
101193,0.35
101194,0.38
101198,0.43
101200,0.37
101204,0.34
101211,0.37
101213,0.37
101223,0.23
101225,0.43
101237,0.35
101243,0.41
101244,0.41
101258,0.35
101259,0.43
101268,0.39
101269,0.27
101271,0.42
101279,0.41
101281,0.47
101287,0.29
101292,0.35
101294,0.44
101296,0.4
101297,0.38
101299,0.4
101301,0.31
101305,0.5
101308,0.38
101318,0.33
101327,0.44
101329,0.34
101332,0.42
101337,0.47
101343,0.4
101345,0.36
101346,0.33
101353,0.26
101354,0.36
101355,0.35
101356,0.48
101362,0.38
101363,0.46
101365,0.4
101366,0.34
101367,0.38
101368,0.32
101374,0.29
101380,0.38
101383,0.36
101398,0.33
101399,0.44
101401,0.36
101412,0.32
101426,0.31
101427,0.44
101428,0.38
101429,0.42
101434,0.33
101440,0.4
101448,0.41
101449,0.32
101465,0.3
101467,0.44
101472,0.4
101478,0.47
101497,0.31
101504,0.44
101547,0.3
101548,0.4
101555,0.43
101570,0.35
101572,0.44
101578,0.37
101580,0.46
101588,0.4
101602,0.41
101610,0.39
101614,0.41
101616,0.34
101643,0.37
101644,0.38
101649,0.41
101650,0.39
101665,0.31
101667,0.34
101669,0.3
101674,0.42
101675,0.33
101678,0.4
101682,0.31
101686,0.37
101697,0.39
101700,0.52
101711,0.38
101714,0.44
101715,0.39
101728,0.34
101732,0.38
101757,0.39
101758,0.32
101759,0.35
101762,0.35
101764,0.43
101780,0.43
101784,0.29
101789,0.3
101816,0.41
101819,0.36
101827,0.34
101863,0.47
101867,0.47
101870,0.27
101873,0.42
101878,0.46
101879,0.32
101880,0.31
101887,0.24
101897,0.38
101901,0.46
101903,0.36
101920,0.33
101921,0.3
101922,0.34
101961,0.36
101962,0.36
101971,0.42
101976,0.41
102002,0.19
102005,0.33
102007,0.35
102017,0.31
102019,0.27
102029,0.34
102051,0.42
102052,0.34
102054,0.26
102062,0.38
102067,0.41
102068,0.35
102070,0.47
102090,0.39
102092,0.35
102099,0.41
102100,0.36
102112,0.41
102113,0.25
102122,0.49
102123,0.4
102125,0.32
102126,0.42
102146,0.35
102147,0.45
102151,0.29
102158,0.39
102159,0.38
102162,0.31
102165,0.21
102166,0.38
102174,0.37
102193,0.48
102198,0.44
102205,0.42
102206,0.34
102218,0.38
102221,0.36
102230,0.39
102238,0.36
102248,0.32
102252,0.48
102259,0.36
102262,0.3
102273,0.39
102286,0.47
102293,0.34
102294,0.28
102296,0.33
102298,0.37
102303,0.36
102309,0.37
102315,0.31
102340,0.25
102342,0.36
102344,0.5
102346,0.33
102347,0.44
102374,0.41
102380,0.38
102387,0.33
102393,0.33
102403,0.47
102413,0.34
102414,0.28
102415,0.29
102416,0.33
102439,0.33
102441,0.41
102443,0.28
102444,0.44
102445,0.48
102448,0.31
102449,0.38
102450,0.41
102456,0.24
102458,0.38
102459,0.38
102465,0.35
102470,0.38
102471,0.36
102475,0.32
102476,0.38
102506,0.36
102509,0.37
102519,0.29
102522,0.36
102545,0.38
102549,0.31
102562,0.3
102563,0.34
102568,0.31
102582,0.36
102592,0.27
102597,0.31
